100050 silly lifecycle connect@3.5.0~preinstall: no script for preinstall, continuing
101436 verbose linkBins assert-plus@0.1.5
101437 verbose linkMans assert-plus@0.1.5
101438 silly build async-each-series@1.1.0
101439 info linkStuff async-each-series@1.1.0
101440 silly linkStuff async-each-series@1.1.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101441 verbose linkBins async-each-series@1.1.0
101442 verbose linkMans async-each-series@1.1.0
101443 silly build lodash@4.15.0
101444 info linkStuff lodash@4.15.0
101445 silly linkStuff lodash@4.15.0 has E:\WebstormProject\book-forum-yo\node_modules\async\node_modules as its parent node_modules
101446 verbose linkBins lodash@4.15.0
101447 verbose linkMans lodash@4.15.0
101448 silly build async@2.0.1
101449 info linkStuff async@2.0.1
101450 silly linkStuff async@2.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101451 verbose linkBins async@2.0.1
101452 verbose linkMans async@2.0.1
101453 silly build aws-sign2@0.6.0
101454 info linkStuff aws-sign2@0.6.0
101455 silly linkStuff aws-sign2@0.6.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101456 verbose linkBins aws-sign2@0.6.0
101457 verbose linkMans aws-sign2@0.6.0
101458 silly build backo2@1.0.2
101459 info linkStuff backo2@1.0.2
101460 silly linkStuff backo2@1.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101461 verbose linkBins backo2@1.0.2
101462 verbose linkMans backo2@1.0.2
101463 silly build balanced-match@0.4.2
101464 info linkStuff balanced-match@0.4.2
101465 silly linkStuff balanced-match@0.4.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101466 verbose linkBins balanced-match@0.4.2
101467 verbose linkMans balanced-match@0.4.2
101468 silly build base64-arraybuffer@0.1.2
101469 info linkStuff base64-arraybuffer@0.1.2
101470 silly linkStuff base64-arraybuffer@0.1.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101471 verbose linkBins base64-arraybuffer@0.1.2
101472 verbose linkMans base64-arraybuffer@0.1.2
101473 silly build base64id@0.1.0
101474 info linkStuff base64id@0.1.0
101475 silly linkStuff base64id@0.1.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101476 verbose linkBins base64id@0.1.0
101477 verbose linkMans base64id@0.1.0
101478 silly build batch@0.5.3
101479 info linkStuff batch@0.5.3
101480 silly linkStuff batch@0.5.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101481 verbose linkBins batch@0.5.3
101482 verbose linkMans batch@0.5.3
101483 silly build tweetnacl@0.14.3
101484 info linkStuff tweetnacl@0.14.3
101485 silly linkStuff tweetnacl@0.14.3 has E:\WebstormProject\book-forum-yo\node_modules\bcrypt-pbkdf\node_modules as its parent node_modules
101486 verbose linkBins tweetnacl@0.14.3
101487 verbose linkMans tweetnacl@0.14.3
101488 silly build bcrypt-pbkdf@1.0.0
101489 info linkStuff bcrypt-pbkdf@1.0.0
101490 silly linkStuff bcrypt-pbkdf@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101491 verbose linkBins bcrypt-pbkdf@1.0.0
101492 verbose linkMans bcrypt-pbkdf@1.0.0
101493 silly build beeper@1.1.0
101494 info linkStuff beeper@1.1.0
101495 silly linkStuff beeper@1.1.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101496 verbose linkBins beeper@1.1.0
101497 verbose linkMans beeper@1.1.0
101498 silly build benchmark@1.0.0
101499 info linkStuff benchmark@1.0.0
101500 silly linkStuff benchmark@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101501 verbose linkBins benchmark@1.0.0
101502 verbose linkMans benchmark@1.0.0
101503 silly build binaryextensions@1.0.1
101504 info linkStuff binaryextensions@1.0.1
101505 silly linkStuff binaryextensions@1.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101506 verbose linkBins binaryextensions@1.0.1
101507 verbose linkMans binaryextensions@1.0.1
101508 silly build blob@0.0.4
101509 info linkStuff blob@0.0.4
101510 silly linkStuff blob@0.0.4 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101511 verbose linkBins blob@0.0.4
101512 verbose linkMans blob@0.0.4
101513 silly build graceful-fs@2.0.3
101514 info linkStuff graceful-fs@2.0.3
101515 silly linkStuff graceful-fs@2.0.3 has E:\WebstormProject\book-forum-yo\node_modules\bower-config\node_modules as its parent node_modules
101516 verbose linkBins graceful-fs@2.0.3
101517 verbose linkMans graceful-fs@2.0.3
101518 silly build osenv@0.0.3
101519 info linkStuff osenv@0.0.3
101520 silly linkStuff osenv@0.0.3 has E:\WebstormProject\book-forum-yo\node_modules\bower-config\node_modules as its parent node_modules
101521 verbose linkBins osenv@0.0.3
101522 verbose linkMans osenv@0.0.3
101523 silly build array-uniq@1.0.3
101524 info linkStuff array-uniq@1.0.3
101525 silly linkStuff array-uniq@1.0.3 has E:\WebstormProject\book-forum-yo\node_modules\brace-expand-join\node_modules as its parent node_modules
101526 verbose linkBins array-uniq@1.0.3
101527 verbose linkMans array-uniq@1.0.3
101528 silly build browser-sync-client@0.5.2
101529 info linkStuff browser-sync-client@0.5.2
101530 silly linkStuff browser-sync-client@0.5.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101531 verbose linkBins browser-sync-client@0.5.2
101532 verbose linkMans browser-sync-client@0.5.2
101533 silly build buffer-crc32@0.2.5
101534 info linkStuff buffer-crc32@0.2.5
101535 silly linkStuff buffer-crc32@0.2.5 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101536 verbose linkBins buffer-crc32@0.2.5
101537 verbose linkMans buffer-crc32@0.2.5
101538 silly build inherits@2.0.3
101539 info linkStuff inherits@2.0.3
101540 silly linkStuff inherits@2.0.3 has E:\WebstormProject\book-forum-yo\node_modules\bufferstreams\node_modules as its parent node_modules
101541 verbose linkBins inherits@2.0.3
101542 verbose linkMans inherits@2.0.3
101543 silly build isarray@0.0.1
101544 info linkStuff isarray@0.0.1
101545 silly linkStuff isarray@0.0.1 has E:\WebstormProject\book-forum-yo\node_modules\bufferstreams\node_modules as its parent node_modules
101546 verbose linkBins isarray@0.0.1
101547 verbose linkMans isarray@0.0.1
101548 silly build builtin-modules@1.1.1
101549 info linkStuff builtin-modules@1.1.1
101550 silly linkStuff builtin-modules@1.1.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101551 verbose linkBins builtin-modules@1.1.1
101552 verbose linkMans builtin-modules@1.1.1
101553 silly build callsite@1.0.0
101554 info linkStuff callsite@1.0.0
101555 silly linkStuff callsite@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101556 verbose linkBins callsite@1.0.0
101557 verbose linkMans callsite@1.0.0
101558 silly build better-assert@1.0.2
101559 info linkStuff better-assert@1.0.2
101560 silly linkStuff better-assert@1.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101561 verbose linkBins better-assert@1.0.2
101562 verbose linkMans better-assert@1.0.2
101563 silly build camelcase@1.2.1
101564 info linkStuff camelcase@1.2.1
101565 silly linkStuff camelcase@1.2.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101566 verbose linkBins camelcase@1.2.1
101567 verbose linkMans camelcase@1.2.1
101568 silly build camelcase@2.1.1
101569 info linkStuff camelcase@2.1.1
101570 silly linkStuff camelcase@2.1.1 has E:\WebstormProject\book-forum-yo\node_modules\camelcase-keys\node_modules as its parent node_modules
101571 verbose linkBins camelcase@2.1.1
101572 verbose linkMans camelcase@2.1.1
101573 silly build caniuse-db@1.0.30000532
101574 info linkStuff caniuse-db@1.0.30000532
101575 silly linkStuff caniuse-db@1.0.30000532 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101576 verbose linkBins caniuse-db@1.0.30000532
101577 verbose linkMans caniuse-db@1.0.30000532
101578 silly build capture-stack-trace@1.0.0
101579 info linkStuff capture-stack-trace@1.0.0
101580 silly linkStuff capture-stack-trace@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101581 verbose linkBins capture-stack-trace@1.0.0
101582 verbose linkMans capture-stack-trace@1.0.0
101583 silly build caseless@0.11.0
101584 info linkStuff caseless@0.11.0
101585 silly linkStuff caseless@0.11.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101586 verbose linkBins caseless@0.11.0
101587 verbose linkMans caseless@0.11.0
101588 silly build ansi-regex@0.2.1
101589 info linkStuff ansi-regex@0.2.1
101590 silly linkStuff ansi-regex@0.2.1 has E:\WebstormProject\book-forum-yo\node_modules\chalk\node_modules as its parent node_modules
101591 verbose linkBins ansi-regex@0.2.1
101592 verbose linkMans ansi-regex@0.2.1
101593 silly build ansi-styles@1.1.0
101594 info linkStuff ansi-styles@1.1.0
101595 silly linkStuff ansi-styles@1.1.0 has E:\WebstormProject\book-forum-yo\node_modules\chalk\node_modules as its parent node_modules
101596 verbose linkBins ansi-styles@1.1.0
101597 verbose linkMans ansi-styles@1.1.0
101598 silly build has-ansi@0.1.0
101599 info linkStuff has-ansi@0.1.0
101600 silly linkStuff has-ansi@0.1.0 has E:\WebstormProject\book-forum-yo\node_modules\chalk\node_modules as its parent node_modules
101601 verbose linkBins has-ansi@0.1.0
101602 verbose link bins [ { 'has-ansi': 'cli.js' },
101602 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\chalk\\node_modules\\.bin',
101602 verbose link bins   false ]
101603 verbose linkMans has-ansi@0.1.0
101604 silly build strip-ansi@0.3.0
101605 info linkStuff strip-ansi@0.3.0
101606 silly linkStuff strip-ansi@0.3.0 has E:\WebstormProject\book-forum-yo\node_modules\chalk\node_modules as its parent node_modules
101607 verbose linkBins strip-ansi@0.3.0
101608 verbose link bins [ { 'strip-ansi': 'cli.js' },
101608 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\chalk\\node_modules\\.bin',
101608 verbose link bins   false ]
101609 verbose linkMans strip-ansi@0.3.0
101610 silly build supports-color@0.2.0
101611 info linkStuff supports-color@0.2.0
101612 silly linkStuff supports-color@0.2.0 has E:\WebstormProject\book-forum-yo\node_modules\chalk\node_modules as its parent node_modules
101613 verbose linkBins supports-color@0.2.0
101614 verbose link bins [ { 'supports-color': 'cli.js' },
101614 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\chalk\\node_modules\\.bin',
101614 verbose link bins   false ]
101615 verbose linkMans supports-color@0.2.0
101616 silly build character-parser@1.2.1
101617 info linkStuff character-parser@1.2.1
101618 silly linkStuff character-parser@1.2.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101619 verbose linkBins character-parser@1.2.1
101620 verbose linkMans character-parser@1.2.1
101621 silly build inherits@2.0.3
101622 info linkStuff inherits@2.0.3
101623 silly linkStuff inherits@2.0.3 has E:\WebstormProject\book-forum-yo\node_modules\cli\node_modules as its parent node_modules
101624 verbose linkBins inherits@2.0.3
101625 verbose linkMans inherits@2.0.3
101626 silly build clone@1.0.2
101627 info linkStuff clone@1.0.2
101628 silly linkStuff clone@1.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101629 verbose linkBins clone@1.0.2
101630 verbose linkMans clone@1.0.2
101631 silly build clone-stats@0.0.1
101632 info linkStuff clone-stats@0.0.1
101633 silly linkStuff clone-stats@0.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101634 verbose linkBins clone-stats@0.0.1
101635 verbose linkMans clone-stats@0.0.1
101636 silly build co@3.1.0
101637 info linkStuff co@3.1.0
101638 silly linkStuff co@3.1.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101639 verbose linkBins co@3.1.0
101640 verbose linkMans co@3.1.0
101641 silly build color-convert@0.5.3
101642 info linkStuff color-convert@0.5.3
101643 silly linkStuff color-convert@0.5.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101644 verbose linkBins color-convert@0.5.3
101645 verbose linkMans color-convert@0.5.3
101646 silly build color-name@1.1.1
101647 info linkStuff color-name@1.1.1
101648 silly linkStuff color-name@1.1.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101649 verbose linkBins color-name@1.1.1
101650 verbose linkMans color-name@1.1.1
101651 silly build color-string@0.3.0
101652 info linkStuff color-string@0.3.0
101653 silly linkStuff color-string@0.3.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101654 verbose linkBins color-string@0.3.0
101655 verbose linkMans color-string@0.3.0
101656 silly build color@0.8.0
101657 info linkStuff color@0.8.0
101658 silly linkStuff color@0.8.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101659 verbose linkBins color@0.8.0
101660 verbose linkMans color@0.8.0
101661 silly build colornames@0.0.2
101662 info linkStuff colornames@0.0.2
101663 silly linkStuff colornames@0.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101664 verbose linkBins colornames@0.0.2
101665 verbose linkMans colornames@0.0.2
101666 silly build colors@1.1.2
101667 info linkStuff colors@1.1.2
101668 silly linkStuff colors@1.1.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101669 verbose linkBins colors@1.1.2
101670 verbose linkMans colors@1.1.2
101671 silly build component-bind@1.0.0
101672 info linkStuff component-bind@1.0.0
101673 silly linkStuff component-bind@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101674 verbose linkBins component-bind@1.0.0
101675 verbose linkMans component-bind@1.0.0
101676 silly build component-emitter@1.1.2
101677 info linkStuff component-emitter@1.1.2
101678 silly linkStuff component-emitter@1.1.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101679 verbose linkBins component-emitter@1.1.2
101680 verbose linkMans component-emitter@1.1.2
101681 silly build component-inherit@0.0.3
101682 info linkStuff component-inherit@0.0.3
101683 silly linkStuff component-inherit@0.0.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101684 verbose linkBins component-inherit@0.0.3
101685 verbose linkMans component-inherit@0.0.3
101686 silly build concat-map@0.0.1
101687 info linkStuff concat-map@0.0.1
101688 silly linkStuff concat-map@0.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101689 verbose linkBins concat-map@0.0.1
101690 verbose linkMans concat-map@0.0.1
101691 silly build brace-expansion@1.1.6
101692 info linkStuff brace-expansion@1.1.6
101693 silly linkStuff brace-expansion@1.1.6 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101694 verbose linkBins brace-expansion@1.1.6
101695 verbose linkMans brace-expansion@1.1.6
101696 silly build minimatch@3.0.3
101697 info linkStuff minimatch@3.0.3
101698 silly linkStuff minimatch@3.0.3 has E:\WebstormProject\book-forum-yo\node_modules\cli\node_modules as its parent node_modules
101699 verbose linkBins minimatch@3.0.3
101700 verbose linkMans minimatch@3.0.3
101701 silly build inherits@2.0.3
101702 info linkStuff inherits@2.0.3
101703 silly linkStuff inherits@2.0.3 has E:\WebstormProject\book-forum-yo\node_modules\concat-stream\node_modules as its parent node_modules
101704 verbose linkBins inherits@2.0.3
101705 verbose linkMans inherits@2.0.3
101706 silly build console-stream@0.1.1
101707 info linkStuff console-stream@0.1.1
101708 silly linkStuff console-stream@0.1.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101709 verbose linkBins console-stream@0.1.1
101710 verbose linkMans console-stream@0.1.1
101711 silly build consolidate@0.10.0
101712 info linkStuff consolidate@0.10.0
101713 silly linkStuff consolidate@0.10.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101714 verbose linkBins consolidate@0.10.0
101715 verbose linkMans consolidate@0.10.0
101716 silly build acorn@2.7.0
101717 info linkStuff acorn@2.7.0
101718 silly linkStuff acorn@2.7.0 has E:\WebstormProject\book-forum-yo\node_modules\constantinople\node_modules as its parent node_modules
101719 verbose linkBins acorn@2.7.0
101720 verbose link bins [ { acorn: './bin/acorn' },
101720 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\constantinople\\node_modules\\.bin',
101720 verbose link bins   false ]
101721 verbose linkMans acorn@2.7.0
101722 silly build constantinople@3.0.2
101723 info linkStuff constantinople@3.0.2
101724 silly linkStuff constantinople@3.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101725 verbose linkBins constantinople@3.0.2
101726 verbose linkMans constantinople@3.0.2
101727 silly build convert-source-map@1.3.0
101728 info linkStuff convert-source-map@1.3.0
101729 silly linkStuff convert-source-map@1.3.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101730 verbose linkBins convert-source-map@1.3.0
101731 verbose linkMans convert-source-map@1.3.0
101732 silly build core-util-is@1.0.2
101733 info linkStuff core-util-is@1.0.2
101734 silly linkStuff core-util-is@1.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101735 verbose linkBins core-util-is@1.0.2
101736 verbose linkMans core-util-is@1.0.2
101737 silly build create-error-class@3.0.2
101738 info linkStuff create-error-class@3.0.2
101739 silly linkStuff create-error-class@3.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101740 verbose linkBins create-error-class@3.0.2
101741 verbose linkMans create-error-class@3.0.2
101742 silly build css-parse@1.0.4
101743 info linkStuff css-parse@1.0.4
101744 silly linkStuff css-parse@1.0.4 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101745 verbose linkBins css-parse@1.0.4
101746 verbose linkMans css-parse@1.0.4
101747 silly build css-stringify@1.0.5
101748 info linkStuff css-stringify@1.0.5
101749 silly linkStuff css-stringify@1.0.5 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101750 verbose linkBins css-stringify@1.0.5
101751 verbose linkMans css-stringify@1.0.5
101752 silly build css@1.0.8
101753 info linkStuff css@1.0.8
101754 silly linkStuff css@1.0.8 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101755 verbose linkBins css@1.0.8
101756 verbose linkMans css@1.0.8
101757 silly build csso@1.3.12
101758 info linkStuff csso@1.3.12
101759 silly linkStuff csso@1.3.12 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101760 verbose linkBins csso@1.3.12
101761 verbose link bins [ { csso: './bin/csso' },
101761 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\.bin',
101761 verbose link bins   false ]
101762 verbose linkMans csso@1.3.12
101763 silly build ctype@0.5.3
101764 info linkStuff ctype@0.5.3
101765 silly linkStuff ctype@0.5.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101766 verbose linkBins ctype@0.5.3
101767 verbose linkMans ctype@0.5.3
101768 silly build currently-unhandled@0.4.1
101769 info linkStuff currently-unhandled@0.4.1
101770 silly linkStuff currently-unhandled@0.4.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101771 verbose linkBins currently-unhandled@0.4.1
101772 verbose linkMans currently-unhandled@0.4.1
101773 silly build dargs@3.0.1
101774 info linkStuff dargs@3.0.1
101775 silly linkStuff dargs@3.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101776 verbose linkBins dargs@3.0.1
101777 verbose linkMans dargs@3.0.1
101778 silly build assert-plus@1.0.0
101779 info linkStuff assert-plus@1.0.0
101780 silly linkStuff assert-plus@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules\dashdash\node_modules as its parent node_modules
101781 verbose linkBins assert-plus@1.0.0
101782 verbose linkMans assert-plus@1.0.0
101783 silly build dashdash@1.14.0
101784 info linkStuff dashdash@1.14.0
101785 silly linkStuff dashdash@1.14.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101786 verbose linkBins dashdash@1.14.0
101787 verbose linkMans dashdash@1.14.0
101788 silly build date-now@0.1.4
101789 info linkStuff date-now@0.1.4
101790 silly linkStuff date-now@0.1.4 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101791 verbose linkBins date-now@0.1.4
101792 verbose linkMans date-now@0.1.4
101793 silly build console-browserify@1.1.0
101794 info linkStuff console-browserify@1.1.0
101795 silly linkStuff console-browserify@1.1.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101796 verbose linkBins console-browserify@1.1.0
101797 verbose linkMans console-browserify@1.1.0
101798 silly build decamelize@1.2.0
101799 info linkStuff decamelize@1.2.0
101800 silly linkStuff decamelize@1.2.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101801 verbose linkBins decamelize@1.2.0
101802 verbose linkMans decamelize@1.2.0
101803 silly build clone@0.2.0
101804 info linkStuff clone@0.2.0
101805 silly linkStuff clone@0.2.0 has E:\WebstormProject\book-forum-yo\node_modules\decompress-tar\node_modules as its parent node_modules
101806 verbose linkBins clone@0.2.0
101807 verbose linkMans clone@0.2.0
101808 silly build inherits@2.0.3
101809 info linkStuff inherits@2.0.3
101810 silly linkStuff inherits@2.0.3 has E:\WebstormProject\book-forum-yo\node_modules\decompress-tar\node_modules as its parent node_modules
101811 verbose linkBins inherits@2.0.3
101812 verbose linkMans inherits@2.0.3
101813 silly build isarray@0.0.1
101814 info linkStuff isarray@0.0.1
101815 silly linkStuff isarray@0.0.1 has E:\WebstormProject\book-forum-yo\node_modules\decompress-tar\node_modules as its parent node_modules
101816 verbose linkBins isarray@0.0.1
101817 verbose linkMans isarray@0.0.1
101818 silly build object-assign@2.1.1
101819 info linkStuff object-assign@2.1.1
101820 silly linkStuff object-assign@2.1.1 has E:\WebstormProject\book-forum-yo\node_modules\decompress-tar\node_modules as its parent node_modules
101821 verbose linkBins object-assign@2.1.1
101822 verbose linkMans object-assign@2.1.1
101823 silly build vinyl@0.4.6
101824 info linkStuff vinyl@0.4.6
101825 silly linkStuff vinyl@0.4.6 has E:\WebstormProject\book-forum-yo\node_modules\decompress-tar\node_modules as its parent node_modules
101826 verbose linkBins vinyl@0.4.6
101827 verbose linkMans vinyl@0.4.6
101828 silly build clone@0.2.0
101829 info linkStuff clone@0.2.0
101830 silly linkStuff clone@0.2.0 has E:\WebstormProject\book-forum-yo\node_modules\decompress-tarbz2\node_modules as its parent node_modules
101831 verbose linkBins clone@0.2.0
101832 verbose linkMans clone@0.2.0
101833 silly build inherits@2.0.3
101834 info linkStuff inherits@2.0.3
101835 silly linkStuff inherits@2.0.3 has E:\WebstormProject\book-forum-yo\node_modules\decompress-tarbz2\node_modules as its parent node_modules
101836 verbose linkBins inherits@2.0.3
101837 verbose linkMans inherits@2.0.3
101838 silly build isarray@0.0.1
101839 info linkStuff isarray@0.0.1
101840 silly linkStuff isarray@0.0.1 has E:\WebstormProject\book-forum-yo\node_modules\decompress-tarbz2\node_modules as its parent node_modules
101841 verbose linkBins isarray@0.0.1
101842 verbose linkMans isarray@0.0.1
101843 silly build object-assign@2.1.1
101844 info linkStuff object-assign@2.1.1
101845 silly linkStuff object-assign@2.1.1 has E:\WebstormProject\book-forum-yo\node_modules\decompress-tarbz2\node_modules as its parent node_modules
101846 verbose linkBins object-assign@2.1.1
101847 verbose linkMans object-assign@2.1.1
101848 silly build vinyl@0.4.6
101849 info linkStuff vinyl@0.4.6
101850 silly linkStuff vinyl@0.4.6 has E:\WebstormProject\book-forum-yo\node_modules\decompress-tarbz2\node_modules as its parent node_modules
101851 verbose linkBins vinyl@0.4.6
101852 verbose linkMans vinyl@0.4.6
101853 silly build clone@0.2.0
101854 info linkStuff clone@0.2.0
101855 silly linkStuff clone@0.2.0 has E:\WebstormProject\book-forum-yo\node_modules\decompress-targz\node_modules as its parent node_modules
101856 verbose linkBins clone@0.2.0
101857 verbose linkMans clone@0.2.0
101858 silly build inherits@2.0.3
101859 info linkStuff inherits@2.0.3
101860 silly linkStuff inherits@2.0.3 has E:\WebstormProject\book-forum-yo\node_modules\decompress-targz\node_modules as its parent node_modules
101861 verbose linkBins inherits@2.0.3
101862 verbose linkMans inherits@2.0.3
101863 silly build isarray@0.0.1
101864 info linkStuff isarray@0.0.1
101865 silly linkStuff isarray@0.0.1 has E:\WebstormProject\book-forum-yo\node_modules\decompress-targz\node_modules as its parent node_modules
101866 verbose linkBins isarray@0.0.1
101867 verbose linkMans isarray@0.0.1
101868 silly build object-assign@2.1.1
101869 info linkStuff object-assign@2.1.1
101870 silly linkStuff object-assign@2.1.1 has E:\WebstormProject\book-forum-yo\node_modules\decompress-targz\node_modules as its parent node_modules
101871 verbose linkBins object-assign@2.1.1
101872 verbose linkMans object-assign@2.1.1
101873 silly build vinyl@0.4.6
101874 info linkStuff vinyl@0.4.6
101875 silly linkStuff vinyl@0.4.6 has E:\WebstormProject\book-forum-yo\node_modules\decompress-targz\node_modules as its parent node_modules
101876 verbose linkBins vinyl@0.4.6
101877 verbose linkMans vinyl@0.4.6
101878 silly build graceful-fs@4.1.6
101879 info linkStuff graceful-fs@4.1.6
101880 silly linkStuff graceful-fs@4.1.6 has E:\WebstormProject\book-forum-yo\node_modules\decompress\node_modules as its parent node_modules
101881 verbose linkBins graceful-fs@4.1.6
101882 verbose linkMans graceful-fs@4.1.6
101883 silly build inherits@2.0.3
101884 info linkStuff inherits@2.0.3
101885 silly linkStuff inherits@2.0.3 has E:\WebstormProject\book-forum-yo\node_modules\decompress\node_modules as its parent node_modules
101886 verbose linkBins inherits@2.0.3
101887 verbose linkMans inherits@2.0.3
101888 silly build is-extglob@2.0.0
101889 info linkStuff is-extglob@2.0.0
101890 silly linkStuff is-extglob@2.0.0 has E:\WebstormProject\book-forum-yo\node_modules\decompress\node_modules as its parent node_modules
101891 verbose linkBins is-extglob@2.0.0
101892 verbose linkMans is-extglob@2.0.0
101893 silly build is-glob@3.0.0
101894 info linkStuff is-glob@3.0.0
101895 silly linkStuff is-glob@3.0.0 has E:\WebstormProject\book-forum-yo\node_modules\decompress\node_modules as its parent node_modules
101896 verbose linkBins is-glob@3.0.0
101897 verbose linkMans is-glob@3.0.0
101898 silly build glob-parent@3.0.0
101899 info linkStuff glob-parent@3.0.0
101900 silly linkStuff glob-parent@3.0.0 has E:\WebstormProject\book-forum-yo\node_modules\decompress\node_modules as its parent node_modules
101901 verbose linkBins glob-parent@3.0.0
101902 verbose linkMans glob-parent@3.0.0
101903 silly build isarray@0.0.1
101904 info linkStuff isarray@0.0.1
101905 silly linkStuff isarray@0.0.1 has E:\WebstormProject\book-forum-yo\node_modules\decompress\node_modules as its parent node_modules
101906 verbose linkBins isarray@0.0.1
101907 verbose linkMans isarray@0.0.1
101908 silly build object-assign@4.1.0
101909 info linkStuff object-assign@4.1.0
101910 silly linkStuff object-assign@4.1.0 has E:\WebstormProject\book-forum-yo\node_modules\decompress\node_modules as its parent node_modules
101911 verbose linkBins object-assign@4.1.0
101912 verbose linkMans object-assign@4.1.0
101913 silly build deep-extend@0.4.1
101914 info linkStuff deep-extend@0.4.1
101915 silly linkStuff deep-extend@0.4.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101916 verbose linkBins deep-extend@0.4.1
101917 verbose linkMans deep-extend@0.4.1
101918 silly build deepmerge@0.2.10
101919 info linkStuff deepmerge@0.2.10
101920 silly linkStuff deepmerge@0.2.10 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101921 verbose linkBins deepmerge@0.2.10
101922 verbose linkMans deepmerge@0.2.10
101923 silly build defaults@1.0.3
101924 info linkStuff defaults@1.0.3
101925 silly linkStuff defaults@1.0.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101926 verbose linkBins defaults@1.0.3
101927 verbose linkMans defaults@1.0.3
101928 silly build delayed-stream@1.0.0
101929 info linkStuff delayed-stream@1.0.0
101930 silly linkStuff delayed-stream@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
101931 verbose linkBins delayed-stream@1.0.0
101932 verbose linkMans delayed-stream@1.0.0
